trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
785,False,"{'a': 0.001, 'e': 0.7073882691671998}",20,0,-66.94651665706988,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
786,False,"{'a': 0.001, 'e': 0.7066810904097934}",20,0,-66.20449836610685,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
787,False,"{'a': 0.001, 'e': 0.7059732049713556}",25,0,-89.05803099906711,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
788,False,"{'a': 0.001, 'e': 0.7052646135597717}",25,0,-69.83425876557587,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
789,False,"{'a': 0.001, 'e': 0.7045553168836329}",25,7,-7.657208386465191,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
790,False,"{'a': 0.001, 'e': 0.7038453156522361}",20,0,-166.4015022031545,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
791,False,"{'a': 0.001, 'e': 0.7031346105755821}",25,15,-31.70697209881806,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
792,False,"{'a': 0.001, 'e': 0.7024232023643763}",20,0,-97.00498935401599,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
793,False,"{'a': 0.001, 'e': 0.7017110917300265}",25,12,-22.052968447016777,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
794,False,"{'a': 0.001, 'e': 0.7009982793846437}",20,0,-69.06524586984123,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
795,False,"{'a': 0.001, 'e': 0.7002847660410396}",20,3,-63.570681509962206,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
796,False,"{'a': 0.001, 'e': 0.699570552412728}",20,7,10.183286691111153,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
